SOURCE,DESTINATION,SERVICE
Internet,10.120.30.10,HTTPS
Internet,10.120.20.10,HTTPS
Internet,10.120.10.10,HTTPS
10.120.30.10,10.120.30.20,HTTPS
10.120.30.20,10.120.10.20,TCP1521
10.120.20.10,10.120.20.20,TCP1521
10.120.10.10,10.120.10.20,TCP1521
10.120.90.10,10.120.10.10,SSH
10.120.90.10,10.120.20.10,SSH
10.120.90.10,10.120.30.20,SSH
10.120.80.10,10.120.10.10,SYSLOG
10.120.80.10,10.120.20.10,SYSLOG
10.120.80.10,10.120.30.10,SYSLOG
10.120.70.10,10.120.10.20,BACKUP
10.120.70.10,10.120.20.20,BACKUP
10.120.70.10,10.120.40.20,BACKUP
10.120.40.10,10.120.40.20,TCP1521
10.120.50.10,10.120.50.20,TCP1433
10.130.10.10,10.130.20.10,HTTPS
10.140.10.10,10.140.20.10,HTTPS
